strain	date	region	country	is_lab_host	host	genbank_accession	authors
India/PP_000R164.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866166.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R180.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866171.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R19Y.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866175.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R1BU.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866178.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R1CS.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866181.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R1GJ.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866190.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1HF.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866194.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1JD.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866195.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1M7.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866202.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1N5.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866204.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1Q1.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866212.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1TV.3/2019-01-01	2019-05-28	Asia	India		Ixodoidea	MN866216.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.; Yadav, P.
India/PP_000R1UT.3/2019-01-01	2019-05-28	Asia	India			MN930401.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R1VR.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN930402.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R1XM.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN930403.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R1YK.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN930404.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R1ZH.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN930405.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R20F.3/2019-01-01	2019-05-28	Asia	India			MN930406.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R239.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN930408.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R247.3/2019-01-01	2019-05-28	Asia	India			MN930409.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
India/PP_000R255.3/2019-01-01	2019-05-28	Asia	India			MN930410.1	Sahay, R. R.; Dhandore, S.; Yadav, P. D.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gupta, J.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Khatri, P. K.; Kaur, H.; Vijay, N.; Singh, S.; Gopalakrishnan, M.
Russia/PP_000R32A.3/2018-05-07	2018-05-07	Asia	Russia		Homo sapiens	MN987247.1	Nikiforova, M. A.; Kuznetsova, N. A.; Shchetinin, A. M.; Butenko, A. M.; Kozlova, A. A.; Larichev, V. P.; Vakalova, E. V.; Babaeva, M. A.; Arjba, T. E.; Akishkin, V. G.; Azarian, A. R.; Nikeshina, N. N.; Rubalsky, O. V.; Bashkina, O. A.; Tkachuk, A. P.; Gintsburg, A. L.; Gushchin, V. A.
USA/PP_000R4JA.3/2020-09-30	2020-09-30	North America	USA		Mus musculus	MW058028.1	Hawman, D. W.; Meade-White, K.; Leventhal, S.; Feldmann, F.; Okumura, A.; Smith, B.; Scott, D.; Feldmann, H.; Sturdevant, D.; Martens, C.; Babian, K.
India/PP_000R4N2.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MW298536.1	Yadav, P.; Shete-Aich, A.; Nyayanit, D.; Sahay, R.
India/PP_000R4P0.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MW298537.1	Yadav, P.; Shete-Aich, A.; Nyayanit, D.; Sahay, R.
India/PP_000R4RW.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MW298539.1	Yadav, P.; Shete-Aich, A.; Nyayanit, D.; Sahay, R.
Uganda/PP_000R544.3/2015-11-09	2015-11-09	Africa	Uganda		Homo sapiens	MW464946.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R552.3/2017-08-18	2017-08-18	Africa	Uganda		Homo sapiens	MW464949.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R560.3/2018-08-18	2018-08-18	Africa	Uganda		Homo sapiens	MW464952.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R57Y.3/2018-09-24	2018-09-24	Africa	Uganda		Homo sapiens	MW464955.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R58W.3/2019-01-02	2019-01-02	Africa	Uganda		Homo sapiens	MW464958.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R59U.3/2018-10-30	2018-10-30	Africa	Uganda		Homo sapiens	MW464961.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R5AS.3/2019-01-24	2019-01-24	Africa	Uganda		Homo sapiens	MW464964.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R5CN.3/2018-08-23	2018-08-23	Africa	Uganda		Homo sapiens	MW464969.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R5DL.3/2018-09-07	2018-09-07	Africa	Uganda		Homo sapiens	MW464972.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R5FG.3/2018-09-22	2018-09-22	Africa	Uganda		Homo sapiens	MW464976.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R5GE.3/2018-07-12	2018-07-12	Africa	Uganda		Homo sapiens	MW464979.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
Uganda/PP_000R5HB.3/2019-04-11	2019-04-11	Africa	Uganda		Homo sapiens	MW464982.1	Balinandi, S.; Whitmer, S.; Mulei, S.; Nyakarahuka, L.; Tumusiime, A.; Kyondo, J.; Mugisha, L.; Almberg, M.; Lutwama, J.; Shoemaker, T.; Klena, J. D.
United_Arab_Emirates/PP_000R5PZ.3/2019-01-01	2019-05-28	Asia	United Arab Emirates		Hyalomma dromedarii	MW548501.1	Camp, J. V.; Weidinger, P.; Ramaswamy, S.; Kannan, D. O.; Osman, B. M.; Kolodziejek, J.; Karuvantevida, N.; Abou Tayoun, A.; Loney, T.; Nowotny, N.; Wolf, N.
United_Arab_Emirates/PP_000R5QX.3/2019-01-01	2019-05-28	Asia	United Arab Emirates		Hyalomma dromedarii	MW548502.1	Camp, J. V.; Weidinger, P.; Ramaswamy, S.; Kannan, D. O.; Osman, B. M.; Kolodziejek, J.; Karuvantevida, N.; Abou Tayoun, A.; Loney, T.; Nowotny, N.; Wolf, N.
United_Arab_Emirates/PP_000R5ST.3/2019-01-01	2019-05-28	Asia	United Arab Emirates		Hyalomma dromedarii	MW548504.1	Camp, J. V.; Weidinger, P.; Ramaswamy, S.; Kannan, D. O.; Osman, B. M.; Kolodziejek, J.; Karuvantevida, N.; Abou Tayoun, A.; Loney, T.; Nowotny, N.; Wolf, N.
United_Arab_Emirates/PP_000R76Y.3/1979-12-01	1979-12-28	Asia	United Arab Emirates		Homo sapiens	OL741591.1	Ashraf, S.; Love, H.; Burton, C.; Carmichael, S.; Filipe, A. D.; Roddy, S.; Smollett, K.; Summers, S.; Tong, L.; Richards, K. S.; Thomson, E. C.
Uganda/PP_000R78U.3/1960-03-01	1960-03-28	Africa	Uganda		Homo sapiens	OL741597.1	Ashraf, S.; Love, H.; Burton, C.; Carmichael, S.; Filipe, A. D.; Roddy, S.; Smollett, K.; Summers, S.; Tong, L.; Richards, K. S.; Thomson, E. C.
South_Africa/PP_000R79S.3/1981-02-01	1981-02-28	Africa	South Africa		Homo sapiens	OL774840.1	Ashraf, S.; Love, H.; Burton, C.; Carmichael, S.; Filipe, A. D.; Roddy, S.; Smollett, K.; Summers, S.; Tong, L.; Richards, K. S.; Thomson, E. C.
Senegal/PP_000R7AQ.3/1975-01-01	1975-05-28	Africa	Senegal		Hyalomma rufipes	OL774849.1	Ashraf, S.; Love, H.; Burton, C.; Carmichael, S.; Filipe, A. D.; Roddy, S.; Smollett, K.; Summers, S.; Tong, L.; Richards, K. S.; Thomson, E. C.
Pakistan/PP_000R7BN.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162027.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7CL.3/2017-01-01	2017-05-28	Asia	Pakistan		Homo sapiens	OM162030.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7DJ.3/2017-01-01	2017-05-28	Asia	Pakistan		Homo sapiens	OM162033.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7EG.3/2017-01-01	2017-05-28	Asia	Pakistan		Homo sapiens	OM162036.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7FE.3/2017-01-01	2017-05-28	Asia	Pakistan		Homo sapiens	OM162039.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7GC.3/2017-01-01	2017-05-28	Asia	Pakistan		Homo sapiens	OM162042.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7H9.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162045.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7J7.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162048.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7K5.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162051.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7L3.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162054.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
