strain	date	region	country	is_lab_host	host	genbank_accession	authors
Pakistan/PP_000R7M1.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162057.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7NZ.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162060.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7PX.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162063.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7QV.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162066.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7RT.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162069.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7SR.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162072.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7UM.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162076.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7VK.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162079.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7XF.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162085.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7YD.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162088.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R7ZB.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162091.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R809.3/2019-01-01	2019-05-28	Asia	Pakistan		Homo sapiens	OM162093.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R817.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162096.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R825.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162099.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R833.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162102.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R841.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162105.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R85Z.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162108.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R86X.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162111.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R87V.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162113.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R88T.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162116.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R89R.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162119.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R8AP.3/2018-01-01	2018-05-28	Asia	Pakistan		Homo sapiens	OM162122.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R8BM.3/2020-01-01	2020-05-28	Asia	Pakistan		Homo sapiens	OM162125.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Pakistan/PP_000R8CK.3/2020-01-01	2020-05-28	Asia	Pakistan		Homo sapiens	OM162128.1	Umair, M.; Rehman, Z.; Whitmer, S.; Mobley, M.; Fahim, A.; Ikram, A.; Salman, M.; Montgomery, J. M.; Klena, J. D.; Khurshid, A.; Talundzic, E.; Montgomery, J.; Klena, J.
Ghana/PP_000RAH6.3/2020-02-13	2020-02-13	Africa	Ghana		Hyalomma rufipes	OQ441062.1	Addo, S. O.; Bentil, R. E.; Baako, B. O. A.; Yartey, K. N.; Ansah-Owusu, J.; Tawiah-Mensah, C. N. L.; Agbodzi, B.; Kumordjie, S.; Yeboah, C.; Asoala, V.; Dunford, J. C.; Larbi, J. A.; Baidoo, P. K.; Wilson, M. D.; Diclaro, J. W. II; Dadzie, S. K.
Ghana/PP_000RAJ4.3/2020-02-25	2020-02-25	Africa	Ghana		Hyalomma rufipes	OQ441065.1	Bentil, R. E.; Addo, S. O.; Mosore, M.-T.; Kumordjie, S.; Yeboah, C.; Agbodzi, B.; Behene, E.; Tagoe, J.; Baako, B. O. A.; Asoala, V.; Ampadu, R. O.; Mingle, D. L.; Nyarko, E.; Fox, A. T.; Letizia, A. G.; Diclaro, J. W. II; Sanders, T.; Oduro, D.; Nimo-Paintsil, S. C.; Harwood, J.; Dadzie, S. K.
Turkey/PP_000RBSM.3/2015-07-20	2015-07-20	Europe	Turkey		Homo sapiens	OQ866633.1	D'Addiego, J.; Wand, N.; Afrough, B.; Fletcher, T.; Kurosaki, Y.; Leblebicioglu, H.; Hewson, R.
China/PP_000RCMW.3/2004-01-01	2004-05-28	Asia	China		Ixodoidea	OR047167.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCNU.3/2004-01-01	2004-05-28	Asia	China		Ixodoidea	OR047178.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCPS.3/1978-01-01	1978-05-28	Asia	China		Homo sapiens	OR047168.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCQQ.3/1975-01-01	1975-05-28	Asia	China		Ixodoidea	OR047169.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCRN.3/1979-01-01	1979-05-28	Asia	China			OR047186.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCSL.3/1984-01-01	1984-05-28	Asia	China		Homo sapiens	OR047170.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCTJ.3/1984-01-01	1984-05-28	Asia	China		Ixodoidea	OR047171.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCUG.3/1969-01-01	1969-05-28	Asia	China		Homo sapiens	OR047172.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCVE.3/1968-01-01	1968-05-28	Asia	China			OR047173.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCWC.3/1968-01-01	1968-05-28	Asia	China		Homo sapiens	OR047174.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RCXA.3/1980-01-01	1980-05-28	Asia	China		Homo sapiens	OR047175.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RD20.3/1979-01-01	1979-05-28	Asia	China			OR047176.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RD3Y.3/1977-01-01	1977-05-28	Asia	China			OR047177.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RD4W.3/1976-01-01	1976-05-28	Asia	China		Homo sapiens	OR047179.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RD5U.3/1973-01-01	1973-05-28	Asia	China		Homo sapiens	OR047180.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RD6S.3/1970-01-01	1970-05-28	Asia	China		Homo sapiens	OR047181.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RDBG.3/1988-01-01	1988-05-28	Asia	China			OR047182.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RDCE.3/1988-01-01	1988-05-28	Asia	China			OR047183.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RDDC.3/1975-01-01	1975-05-28	Asia	China		Homo sapiens	OR047184.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_000RDEA.3/1966-01-01	1966-05-28	Asia	China		Homo sapiens	OR047185.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
Pakistan/PP_000RDRM.3/2023-05-01	2023-05	Asia	Pakistan		Homo sapiens	OR964921.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDSK.3/2023-07-03	2023-07-03	Asia	Pakistan		Homo sapiens	OR964922.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDTH.3/2023-04-20	2023-04-20	Asia	Pakistan		Homo sapiens	OR964923.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDUF.3/2023-05-01	2023-05	Asia	Pakistan		Homo sapiens	OR964924.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDVD.3/2023-07-14	2023-07-14	Asia	Pakistan		Homo sapiens	OR964925.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDWB.3/2023-08-26	2023-08-26	Asia	Pakistan		Homo sapiens	OR964926.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDX9.3/2023-08-30	2023-08-30	Asia	Pakistan		Homo sapiens	OR964927.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDY7.3/2023-08-05	2023-08-05	Asia	Pakistan		Homo sapiens	OR964928.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RDZ5.3/2023-09-25	2023-09-25	Asia	Pakistan		Homo sapiens	OR964929.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RE03.3/2023-09-25	2023-09-25	Asia	Pakistan		Homo sapiens	OR964930.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Pakistan/PP_000RE11.3/2023-09-25	2023-09-25	Asia	Pakistan		Homo sapiens	OR964931.1	Umair, M.; Haider, S. A.; Jamal, Z.; Ammar, M.; Hakim, R.; Ali, Q.; Salman, M.
Georgia/PP_000RELW.4/2023-01-01	2023-05-28	Asia	Georgia		Homo sapiens	PP116320.1	Karan, L. S.; Perekopskaya, N. E.; Morozkin, E. S.; Roev, G. V.
North_Macedonia/PP_000RF4U.3/2023-01-01	2023-05-28	Europe	North Macedonia		Homo sapiens	PP729066.1	Jakimovski, D.; Spasovska, K.; Grozdanovski, K.; Rangelov, G.; Cvetanovska, M.; Cana, F.; Banovic, P.; Simin, V.; Bogdan, I.; Mijatovic, D.; Cvetkovikj, A.; Djadjovski, I.; Christova, I.; Meletis, E.; Kostoulas, P.; Zana, B.; Lanszki, Z.; Gorfol, T.; Tauber, Z.; Kemenesi, G.; Urban, P.
North_Macedonia/PP_000RFJZ.3/2023-01-01	2023-05-28	Europe	North Macedonia		Homo sapiens	PP963968.1	Bosevska, G.; Emmerich, P.; von Possel, R.; Toth, E. G.; Osmani, D.; Cadar, D.
North_Macedonia/PP_000RFLV.3/2024-01-01	2024-05-28	Europe	North Macedonia		Homo sapiens	PQ031236.1	Jakimovski, D.; Banovic, P.; Zana, B.; Abraham, A.; Lanszki, Z.; Gorfol, T.; Tauber, Z.; Kuczmog, A.; Banyai, K.; Kemenesi, G.
Nigeria/PP_000SMLM.1/1966-01-01	1966-05-28	Africa	Nigeria	True	Hyalomma excavatum	PQ463982.1	Peng, L.; Hirsch, S.; Kocher, G.; Mehta, M.; Holbrook, M.
Pakistan/PP_000SNKN.1/2024-05-02	2024-05-02	Asia	Pakistan		Homo sapiens	PQ523727.1	Umair, M.; Hakim, R.; Jamal, Z.; Salman, M.
Pakistan/PP_000SNLL.1/2024-07-12	2024-07-12	Asia	Pakistan		Homo sapiens	PQ523728.1	Umair, M.; Hakim, R.; Jamal, Z.; Salman, M.
Pakistan/PP_000SNMJ.1/2024-07-16	2024-07-16	Asia	Pakistan		Homo sapiens	PQ523729.1	Umair, M.; Hakim, R.; Jamal, Z.; Salman, M.
China/PP_0010Q9R.1/1984-01-01	1984-05-28	Asia	China		Ixodoidea	OR823870.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_0010QAP.1/1984-01-01	1984-05-28	Asia	China		Ixodoidea	OR823871.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
China/PP_0010QBM.1/1984-01-01	1984-05-28	Asia	China		Ixodoidea	OR823872.1	Moming, A.; Zhu, Q.; Bai, Y.; Jin, J.; Wu, Q.; Su, Z.; Tang, S.; Zhang, Y.; Shen, S.; Deng, F.
Senegal/PP_0010Z00.1/2022-01-01	2022-05-28	Africa	Senegal		Homo sapiens	PP845328.1	Sene, O.
Senegal/PP_001100X.1/2022-08-01	2022-08-28	Africa	Senegal		Rhipicephalus sulcatus	PP894718.1	Sene, O.
Senegal/PP_001101V.1/2022-08-01	2022-08-28	Africa	Senegal		Rhipicephalus evertsi	PP894719.1	Sene, O.
Senegal/PP_001102T.1/2022-08-01	2022-08-28	Africa	Senegal		Rhipicephalus sulcatus	PP894720.1	Sene, O.
Senegal/PP_001103R.1/2022-08-01	2022-08-28	Africa	Senegal		Rhipicephalus senegalensis	PP894721.1	Sene, O.
Senegal/PP_00110PJ.1/2022-08-01	2022-08-28	Africa	Senegal		Hyalomma marginatum	PP916049.1	Sene, O.
Turkey/PP_0014EHA.1/2017-05-08	2017-05-08	Europe	Turkey		Homo sapiens	PV135959.1	Ozkul, A.; Ergunay, K.; Hanifehnezhad, A.
Turkey/PP_0014G17.1/2023-04-28	2023-04-28	Europe	Turkey		Homo sapiens	PV330319.1	Kuskucu, M. A.; Yapar, D.; Yalcin, S.; Celikbas, A.; Baykam, N.; Can, F.; Ergonul, O.
Tajikistan/PP_0015FWF.1/2023-06-12	2023-06-12	Asia	Tajikistan		Homo sapiens	PV390621.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
Tajikistan/PP_0015FXD.1/2023-07-12	2023-07-12	Asia	Tajikistan		Homo sapiens	PV390622.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
Tajikistan/PP_0015FYB.1/2017-06-29	2017-06-29	Asia	Tajikistan		Homo sapiens	PV390623.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
Tajikistan/PP_0015FZ9.1/2017-07-04	2017-07-04	Asia	Tajikistan		Homo sapiens	PV390624.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
Tajikistan/PP_0015G07.1/2017-07-07	2017-07-07	Asia	Tajikistan		Homo sapiens	PV390625.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
Tajikistan/PP_0015G15.1/2017-07-07	2017-07-07	Asia	Tajikistan		Homo sapiens	PV390626.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
Tajikistan/PP_0015G23.1/2023-05-26	2023-05-26	Asia	Tajikistan		Hyalomma anatolicum	PV390627.1	D'Addiego, J.; Mullojanova, M.; Hikmatov, T.; Tishkova, F.; Hewson, R.
